STEM,LEMMA,FORMS...
----,---- (JJ),---- (JJ)
-degre,-degree (NNP),-degree (NNP)
a-to-b,a-to-b (JJ),a-to-b (JJ)
aback,aback (NN),aback (NN)
abandon,abandon (n),abandon (IN),abandoned (VBD),abandoning (VBG)
abdomen,abdomen (n),abdomen (NNS),abdomens (RB)
aberr,aberration (n),aberration (NN),aberrations (NNS)
abhorr,abhorrent (NN),abhorrent (NN)
abid,abide (RB),abide (RB)
abil,ability (n),abilities (NNS),ability (NN)
abl,able (JJ),able (JJ)
ablaz,ablaze (NN),ablaze (NN)
aboard,aboard (IN),aboard (IN)
abod,abode (n),abode (NN)
abomin,abomination (n),abomination (NN),abominably (RB)
abort,abortive (JJ),abortive (JJ)
about,about (IN),about (IN)
above,above (n),above (IN)
abras,abrasive (n),abrasive (JJ)
abroad,abroad (RB),abroad (RB)
abrupt,abruptly (RB),abruptly (RB)
abseil,abseil (n),abseil (NN)
absenc,absence (n),absence (NN)
absent,absently (RB),absently (RB),absent (JJ)
absolut,absolutely (RB),absolutely (RB),absolute (JJ)
absorb,absorb (NN),absorb (NN)
abstract,abstractly (RB),abstractly (RB),abstract (NN)
absurd,absurdly (RB),absurdly (RB),absurdity (NN),absurd (NN)
abund,abundant (JJ),abundant (JJ)
abus,abuse (n),abuse (NN),abused (JJ)
abyss,abyss (n),abyss (JJ)
academ,academic (n),academic (JJ),academics (NNS)
academi,academy (n),academy (IN)
academia,academia (n),academia (NN)
acceler,accelerate (v),accelerate (VBP),accelerated (JJ),accelerating (VBG),acceleration (NN)
accent,accent (n),accent (JJ)
accept,accepts (NNS),accepts (NNS),acceptance (NN),accepted (JJ),accepting (VBG),accept (JJ),acceptable (JJ)
access,access (n),access (NN),accessible (JJ),accessing (VBG),accessed (VBD)
accid,accident (n),accidents (NNS),accident (JJ)
accommod,accommodate (v),accommodated (VBD),accommodation (NN)
accompani,accompany (v),accompanying (VBG),accompanied (VBN),accompany (NN),accompanies (NNS)
accomplic,accomplice (n),accomplices (NNS)
accomplish,accomplish (JJ),accomplish (JJ),accomplishes (NNS),accomplishments (NNS),accomplished (VBN)
accord,accord (v),according (VBG),accordingly (RB),accordance (NN),accord (NN)
account,account (n),account (NN),accounts (NNS),accounted (VBD)
accumul,accumulate (v),accumulating (VBG),accumulated (VBN)
accur,accurate (NN),accurate (NN)
accuraci,accuracy (VBP),accuracy (VBP)
accus,accuse (v),accuse (VBP),accusation (NN),accused (VBD)
achiev,achieve (v),achieve (VBP),achieved (VBN),achieves (NNS),achievements (NNS),achievement (NN),achieving (VBG),achievable (JJ)
acid,acid (n),acid (NN),acidly (RB),acids (NNS)
acknowledg,acknowledge (NN),acknowledge (NN),acknowledgement (JJ),acknowledged (VBD),acknowledgements (NNS),acknowledges (NNS)
acolyt,acolyte (n),acolytes (NNS)
acquaint,acquaintance (n),acquaintance (NN)
acquiesc,acquiesce (NN),acquiesce (NN),acquiescence (NN)
acquir,acquire (v),acquired (VBD)
acrid,acrid (RB),acrid (RB)
acrimoni,acrimony (n),acrimony (NN)
across,across (IN),across (IN)
act,act (n),acts (NNS),acting (VBG),act (NN)
action,action (n),actions (NNS),action (NN)
activ,activity (n),activity (NN),activating (VBG),activated (VBN),active (JJ),actively (RB),activate (VB)
actor,actor (n),actor (NN)
actual,actually (RB),actually (RB),actual (JJ)
acuiti,acuity (n),acuity (JJ)
acumen,acumen (VBP),acumen (VBP)
acut,acute (n),acute (JJ)
ad,added (JJ),added (JJ),adding (VBG)
adapt,adapt (JJ),adapt (JJ),adaptable (JJ),adaptation (NN),adapting (VBG),adaptive (JJ),adapted (VBN)
add,add (v),adds (VBZ),add (NN)
addit,additional (JJ),additional (JJ)
address,address (n),address (NN)
adept,adept (n),adept (JJ)
adher,adherent (n),adherents (NNS)
adhes,adhesive (n),adhesive (JJ)
adjust,adjust (v),adjusted (VBN),adjustable (JJ),adjust (VBP),adjustment (NN),adjustments (NNS)
administr,administrator (n),administrator (NN),administrative (JJ)
admir,admire (v),admired (VBD),admirers (NNS)
admiss,admission (n),admission (NN)
admit,admit (v),admitted (VBD),admitting (VBG),admit (NN)
adopt,adopt (v),adopting (VBG),adopted (VBN)
adorn,adornment (n),adornment (NN)
adrenalin,adrenalined (VBD),adrenalined (VBD),adrenaline (VBP)
adrian,adrian (n),adrian (JJ)
adrift,adrift (NN),adrift (NN)
adult,adult (n),adult (NN),adults (NNS)
adulthood,adulthood (n),adulthood (NN)
advanc,advance (n),advances (NNS),advancement (NN),advanced (JJ),advancing (VBG),advance (NN)
advantag,advantage (n),advantages (NNS),advantage (NN),advantageous (JJ)
adventur,adventurer (n),adventurers (NNS)
advers,adversity (n),adversity (NN)
adversari,adversary (VBP),adversary (VBP),adversaries (NNS),adversarial (JJ)
advic,advice (n),advice (NN)
advis,advise (NN),advise (NN)
advisor,advisor (n),advisors (NNS),advisor (JJ)
advoc,advocate (n),advocate (IN)
aeon,aeon (n),aeons (NNS)
aeons-long,aeons-long (JJ),aeons-long (JJ)
aerodynam,aerodynamic (JJ),aerodynamic (JJ)
aesthet,aesthetically (RB),aesthetically (RB),aesthetic (JJ),aesthetics (NNS)
afar,afar (NN),afar (NN)
affair,affair (n),affairs (NNS),affair (VBP)
affect,affect (n),affect (JJ),affected (VBD)
affirm,affirmative (n),affirmative (JJ)
afford,afford (JJ),afford (JJ)
afield,afield (NN),afield (NN)
afraid,afraid (JJ),afraid (JJ)
after,after (IN),after (IN)
aftereffect,aftereffects (VBZ),aftereffects (VBZ)
aftermath,aftermath (n),aftermath (RB)
aftertast,aftertaste (n),aftertaste (NN)
afterthought,afterthought (n),afterthought (RB)
afterward,afterwards (NNS),afterwards (NNS)
again,again (RB),again (RB)
against,against (IN),against (IN)
age,age (v),aged (VBN),ages (NNS),age (NN),ageing (VBG)
age-old,age-old (JJ),age-old (JJ)
agent,agent (n),agent (JJ),agents (NNS)
aggress,aggression (n),aggression (NN),aggressive (JJ),aggressively (RB)
aghast,aghast (JJ),aghast (JJ)
agil,agile (IN),agile (IN)
agit,agitation (n),agitation (NN),agitated (VBD)
ago,ago (RB),ago (RB)
agog,agog (IN),agog (IN)
agon,agonized (JJ),agonized (JJ),agonizing (VBG),agonize (NN)
agorec,agorecent (JJ),agorecent (JJ)
agre,agree (JJ),agree (JJ),agreed (VBD),agrees (NNS)
agreement,agreement (n),agreement (NN)
agricultur,agricultural (JJ),agricultural (JJ),agriculture (JJ)
ahead,ahead (RB),ahead (RB)
aid,aid (n),aid (NN),aids (NNS),aided (VBD),aides (NNS)
ail,ail (v),ailing (VBG)
ailen,ailen (JJ),ailen (JJ)
aim,aim (v),aiming (VBG),aims (NNS),aimed (VBN),aim (VBP)
aimless,aimless (IN),aimless (IN)
ain,ain (VBP),ain (VBP)
air,air (n),air (NN)
air-condit,air-conditioning (JJ),air-conditioning (JJ)
air-curr,air-current (JJ),air-current (JJ)
airborn,airborne (JJ),airborne (JJ)
airflow,airflow (n),airflow (JJ)
airless,airless (JJ),airless (JJ)
airlock,airlock (n),airlock (NN),airlocks (NNS)
airship,airship (n),airship (JJ)
airtight,airtight (JJ),airtight (JJ)
airway,airway (n),airway (RB),airways (NNS)
ala,ala (n),alas (NN)
alarm,alarmed (JJ),alarmed (JJ),alarms (NNS),alarm (NN),alarmingly (RB),alarming (VBG)
albeit,albeit (NN),albeit (NN)
alchem,alchemical (JJ),alchemical (JJ)
alchemi,alchemy (n),alchemy (NN)
alchemist,alchemist (n),alchemists (NNS),alchemist (JJ)
alert,alert (n),alerts (NNS),alert (RB),alerting (VBG),alerted (VBD)
alexandria,alexandria (n),alexandria (NNS)
alga,algae (n),algae (NN)
algorithm,algorithm (n),algorithms (JJ)
alien,alien (n),aliens (NNS),alien (JJ),alienate (NN)
alight,alight (v),alighted (VBN)
aliv,alive (JJ),alive (JJ)
all,all (DT),all (DT)
all-clear,all-clear (JJ),all-clear (JJ)
all-consum,all-consuming (JJ),all-consuming (JJ)
all-direct,all-directions (NNS),all-directions (NNS)
all-eggs-in-one-basket,all-eggs-in-one-basket (NN),all-eggs-in-one-basket (NN)
all-encompass,all-encompassing (JJ),all-encompassing (JJ)
all-frequ,all-frequencies (NNS),all-frequencies (NNS)
all-import,all-important (JJ),all-important (JJ)
all-know,all-knowing (JJ),all-knowing (JJ)
all-out,all-out (JJ),all-out (JJ)
all-se,all-seeing (JJ),all-seeing (JJ)
alleg,allege (v),alleged (VBN)
allegi,allegiance (n),allegiance (NN)
alli,ally (n),ally (RB),allied (VBD),allies (NNS)
allot,allot (v),allotted (VBD),allotment (NN)
allow,allow (v),allows (VBZ),allowed (VBN),allow (VB),allowing (VBG)
allus,allusion (n),allusions (NNS)
almighti,almighty (n),almighty (NN)
almost,almost (RB),almost (RB)
almost-hidden,almost-hidden (JJ),almost-hidden (JJ)
almost-lost,almost-lost (JJ),almost-lost (JJ)
aloft,aloft (RB),aloft (RB)
alon,alone (RB),alone (RB)
along,along (IN),along (IN)
alongsid,alongside (RB),alongside (RB)
aloof,aloof (VBP),aloof (VBP)
aloud,aloud (JJ),aloud (JJ)
alpash,alpash (JJ),alpash (JJ)
alreadi,already (RB),already (RB)
also,also (RB),also (RB)
alter,altered (JJ),altered (JJ),altering (VBG),alter (NN),alters (VBZ)
altern,alternate (n),alternate (JJ),alternatively (RB),alternative (JJ)
although,although (IN),although (IN)
altimet,altimeter (n),altimeter (RB)
altitud,altitude (n),altitude (NN),altitudes (IN)
altogeth,altogether (n),altogether (RB)
altruism,altruism (n),altruism (NN)
alway,always (RB),always (RB)
amateur,amateur (n),amateur (JJ),amateurs (VBP)
amateurish,amateurish (JJ),amateurish (JJ)
amaz,amazing (JJ),amazing (JJ),amazement (NN)
amber,amber (n),amber (RB)
ambit,ambition (n),ambitions (NNS),ambition (NN)
ambiti,ambitious (JJ),ambitious (JJ)
ambival,ambivalent (NN),ambivalent (NN)
ambush,ambush (n),ambush (JJ),ambushed (VBD),ambusher (RB)
amen,amenable (JJ),amenable (JJ)
amend,amend (v),amended (VBD),amendment (NN)
amid,amid (IN),amid (IN)
amidst,amidst (JJ),amidst (JJ)
ammunit,ammunition (n),ammunition (NN)
among,among (IN),among (IN)
amongst,amongst (IN),amongst (IN)
amount,amount (n),amount (NN)
ampl,ample (JJ),ample (JJ)
amplifi,amplify (v),amplified (VBD),amplify (VBP)
amus,amusement (n),amusement (NN),amuse (NN)
analog,analogous (JJ),analogous (JJ)
analys,analyse (v),analyses (VBZ),analysing (VBG),analyse (RB),analysed (JJ)
analysi,analysis (n),analysis (NN)
analyst,analyst (n),analyst (NN)
analyt,analytical (JJ),analytical (JJ)
anarch,anarchic (JJ),anarchic (JJ)
anarchi,anarchy (n),anarchy (JJ)
anatomi,anatomy (n),anatomy (NN)
ancestor,ancestor (n),ancestors (NNS),ancestor (NN)
ancestr,ancestral (JJ),ancestral (JJ)
ancestress,ancestress (n),ancestress (RB)
ancestri,ancestry (n),ancestry (NN)
anchor,anchor (n),anchor (NN),anchoring (VBG),anchored (VBD)
ancient,ancient (n),ancient (JJ),ancients (NNS)
and,and (CC),and (CC)
andri,andry (VBP),andry (VBP)
anew,anew (RB),anew (RB)
angel,angel (n),angel (JJ)
anger,anger (v),angered (VBD),anger (NN)
angl,angle (n),angles (NNS),angled (VBN),angle (NN)
angri,angry (JJ),angry (JJ)
angrili,angrily (RB),angrily (RB)
anguish,anguish (v),anguished (VBD)
angular,angular (JJ),angular (JJ)
anim,animal (n),animals (NNS),animatedly (RB),animate (VBP),animal (RB),animation (NN)
animicul,animicules (NNS),animicules (NNS)
ankl,ankle (n),ankle (NN)
annal,annals (n),annals (NNS)
anni,annie (JJ),annie (JJ)
annihil,annihilate (v),annihilate (VBP)
announc,announcement (n),announcements (NNS),announcing (VBG),announced (VBD),announcement (NN)
annoy,annoyance (n),annoyance (NN),annoyed (VBN)
annunci,annunciation (n),annunciation (NN)
anoth,another (DT),another (DT)
answer,answer (v),answer (VB),answers (NNS),answering (VBG),answered (VBN)
ant,ant (n),ant (JJ),ants (NNS)
ant-siz,ant-sized (JJ),ant-sized (JJ)
ant-tend,ant-tended (JJ),ant-tended (JJ)
ant-war,ant-war (JJ),ant-war (JJ)
anteced,antecedent (n),antecedents (NNS)
antenna,antenna (n),antenna (JJ),antennae (NN)
antennae-spik,antennae-spiked (JJ),antennae-spiked (JJ)
anti-asteroid,anti-asteroid (JJ),anti-asteroid (JJ)
anti-piraci,anti-piracy (JJ),anti-piracy (JJ)
anticip,anticipate (v),anticipated (VBN),anticipate (NN),anticipation (NN),anticipating (VBG)
antiqu,antique (n),antique (NN),antiquity (NN),antiquated (VBD)
antiquarian,antiquarianism (NN),antiquarianism (NN)
